train_loss,epoch,step,val_loss
16.5157470703125,0,49,
7.911429405212402,0,99,
,0,123,56.72119140625
5.874144077301025,1,149,
3.33929443359375,1,199,
,1,247,4.040235996246338
2.752279758453369,2,249,
2.6333749294281006,2,299,
2.5279593467712402,2,349,
,2,371,3.3242084980010986
2.3078413009643555,3,399,
2.2417945861816406,3,449,
,3,495,3.5480573177337646
2.388680934906006,4,499,
2.1495890617370605,4,549,
2.081022262573242,4,599,
,4,619,3.2793147563934326
2.156982898712158,5,649,
1.824632167816162,5,699,
,5,743,3.089994430541992
1.8467267751693726,6,749,
1.9642695188522339,6,799,
1.9247989654541016,6,849,
,6,867,3.3857014179229736
1.9013371467590332,7,899,
1.8558719158172607,7,949,
,7,991,3.0612728595733643
1.791741132736206,8,999,
2.0155181884765625,8,1049,
1.7654283046722412,8,1099,
,8,1115,3.169971227645874
1.7512221336364746,9,1149,
1.7544068098068237,9,1199,
,9,1239,2.96288800239563
