train_loss,epoch,step,val_loss
17.25448226928711,0,49,
8.608054161071777,0,99,
3.249164581298828,0,149,
,0,175,5.111263751983643
2.3133151531219482,1,199,
1.9317470788955688,1,249,
1.9363863468170166,1,299,
1.8715541362762451,1,349,
,1,351,4.00111722946167
1.9150846004486084,2,399,
1.8169968128204346,2,449,
1.7782459259033203,2,499,
,2,527,3.9305026531219482
1.7845447063446045,3,549,
1.5893630981445312,3,599,
1.5836303234100342,3,649,
1.6674309968948364,3,699,
,3,703,3.7556090354919434
1.6355587244033813,4,749,
1.6706387996673584,4,799,
1.5164482593536377,4,849,
,4,879,3.6314895153045654
1.683257818222046,5,899,
1.603087306022644,5,949,
1.5343689918518066,5,999,
1.5904860496520996,5,1049,
,5,1055,3.98008131980896
1.5610560178756714,6,1099,
1.4524219036102295,6,1149,
1.6220660209655762,6,1199,
,6,1231,3.439145803451538
1.4325916767120361,7,1249,
1.4561866521835327,7,1299,
1.6625094413757324,7,1349,
1.5378355979919434,7,1399,
,7,1407,3.846738338470459
1.3798530101776123,8,1449,
1.6319242715835571,8,1499,
1.324879765510559,8,1549,
,8,1583,4.014548301696777
1.5343437194824219,9,1599,
1.3935725688934326,9,1649,
1.5470178127288818,9,1699,
1.5803279876708984,9,1749,
,9,1759,3.4660351276397705
