train_loss,epoch,step,val_loss
23.565927505493164,0,49,
,0,87,16.50693130493164
11.332952499389648,1,99,
2.833326816558838,1,149,
,1,175,2.9903721809387207
2.232459545135498,2,199,
1.9968583583831787,2,249,
,2,263,2.5199806690216064
1.87852144241333,3,299,
1.7356247901916504,3,349,
,3,351,2.398023843765259
1.7661733627319336,4,399,
,4,439,2.393028974533081
1.520193099975586,5,449,
1.355391025543213,5,499,
,5,527,2.3439369201660156
1.5774784088134766,6,549,
1.5449916124343872,6,599,
,6,615,2.349393844604492
1.4859689474105835,7,649,
1.511176347732544,7,699,
,7,703,2.351034641265869
1.3880412578582764,8,749,
,8,791,2.315025806427002
1.522214651107788,9,799,
1.453888177871704,9,849,
,9,879,2.3049235343933105
